DATE,TAVG,TMAX,TMIN
1980/1/1,22,29,15
1980/1/2,27,33,22
1980/1/3,29,33,25
1980/1/4,22,31,16
1980/1/5,20,35,7
1980/1/6,24,31,15
1980/1/7,21,37,7
1980/1/8,24,35,14
1980/1/9,26,31,18
1980/1/10,18,26,13
1980/1/11,17,31,5
1980/1/12,28,39,15
1980/1/13,29,38,18
1980/1/14,28,35,21
1980/1/15,28,41,14
1980/1/16,26,37,13
1980/1/17,20,30,9
1980/1/18,19,26,13
1980/1/19,22,36,11
1980/1/20,25,38,13
1980/1/21,24,36,16
1980/1/22,24,40,11
1980/1/23,30,43,20
1980/1/24,26,39,17
1980/1/25,26,40,16
1980/1/26,32,44,24
1980/1/27,34,42,26
1980/1/28,27,32,23
1980/1/29,12,25,6
1980/1/30,14,23,6
1980/1/31,19,27,10
1980/2/1,22,30,14
1980/2/2,23,29,16
1980/2/3,16,22,11
1980/2/4,15,21,12
1980/2/5,12,19,7
1980/2/6,15,24,6
1980/2/7,14,22,4
1980/2/8,17,28,10
1980/2/9,22,37,9
1980/2/10,33,42,17
1980/2/11,29,40,18
1980/2/12,28,41,16
1980/2/13,24,33,18
1980/2/14,24,38,8
1980/2/15,27,45,10
1980/2/16,25,39,15
1980/2/17,29,42,20
1980/2/18,31,38,28
1980/2/19,25,31,17
1980/2/20,31,44,22
1980/2/21,30,38,26
1980/2/22,34,46,29
1980/2/23,35,50,26
1980/2/24,32,39,27
1980/2/25,32,35,29
1980/2/26,34,46,22
1980/2/27,37,50,28
1980/2/28,38,49,26
1980/2/29,41,49,35
1980/3/1,38,51,27
1980/3/2,40,56,25
1980/3/3,40,52,34
1980/3/4,35,46,26
1980/3/5,35,47,25
1980/3/6,39,53,28
1980/3/7,42,56,31
1980/3/8,39,46,37
1980/3/9,35,38,32
1980/3/10,29,34,26
1980/3/11,30,36,27
1980/3/12,31,36,29
1980/3/13,36,46,31
1980/3/14,38,47,30
1980/3/15,37,47,26
1980/3/16,41,56,29
1980/3/17,42,54,35
1980/3/18,34,38,31
1980/3/19,38,51,27
1980/3/20,41,50,34
1980/3/21,35,42,28
1980/3/22,31,37,30
1980/3/23,36,43,31
1980/3/24,39,53,26
1980/3/25,45,56,28
1980/3/26,48,68,29
1980/3/27,52,70,32
1980/3/28,53,68,36
1980/3/29,49,57,40
1980/3/30,47,52,45
1980/3/31,47,56,39
1980/4/1,44,56,33
1980/4/2,49,63,33
1980/4/3,56,71,44
1980/4/4,57,71,46
1980/4/5,47,56,43
1980/4/6,42,50,35
1980/4/7,45,47,42
1980/4/8,49,60,35
1980/4/9,45,52,41
1980/4/10,47,63,35
1980/4/11,56,72,44
1980/4/12,45,58,42
1980/4/13,46,54,38
1980/4/14,44,54,34
1980/4/15,45,54,38
1980/4/16,44,60,31
1980/4/17,51,64,38
1980/4/18,53,62,47
1980/4/19,53,60,48
1980/4/20,55,63,47
1980/4/21,58,69,43
1980/4/22,55,63,46
1980/4/23,54,64,41
1980/4/24,54,65,37
1980/4/25,58,73,38
1980/4/26,56,64,51
1980/4/27,52,62,41
1980/4/28,53,67,42
1980/4/29,58,73,40
1980/4/30,59,70,48
1980/5/1,61,76,45
1980/5/2,66,74,58
1980/5/3,64,75,56
1980/5/4,64,73,46
1980/5/5,62,71,55
1980/5/6,61,74,46
1980/5/7,61,74,47
1980/5/8,65,76,52
1980/5/9,70,89,47
1980/5/10,72,87,56
1980/5/11,67,78,56
1980/5/12,66,75,58
1980/5/13,63,73,54
1980/5/14,67,75,60
1980/5/15,57,65,47
1980/5/16,61,73,43
1980/5/17,66,81,43
1980/5/18,67,75,60
1980/5/19,65,77,49
1980/5/20,69,81,58
1980/5/21,72,81,60
1980/5/22,74,86,59
1980/5/23,73,85,59
1980/5/24,71,81,64
1980/5/25,59,71,53
1980/5/26,63,74,51
1980/5/27,75,95,52
1980/5/28,73,84,61
1980/5/29,77,88,65
1980/5/30,70,80,63
1980/5/31,71,80,65
1980/6/1,62,69,59
1980/6/2,67,80,55
1980/6/3,68,83,53
1980/6/4,74,87,60
1980/6/5,78,88,69
1980/6/6,71,78,68
1980/6/7,74,87,66
1980/6/8,76,87,63
1980/6/9,70,76,66
1980/6/10,74,87,62
1980/6/11,79,89,67
1980/6/12,77,88,65
1980/6/13,76,84,67
1980/6/14,80,90,68
1980/6/15,74,82,70
1980/6/16,76,86,63
1980/6/17,80,88,70
1980/6/18,80,91,67
1980/6/19,79,90,69
1980/6/20,78,95,65
1980/6/21,74,83,65
1980/6/22,74,83,64
1980/6/23,81,90,70
1980/6/24,79,88,72
1980/6/25,77,87,71
1980/6/26,80,93,68
1980/6/27,82,94,74
1980/6/28,78,85,71
1980/6/29,74,82,72
1980/6/30,78,88,69
1980/7/1,74,81,72
1980/7/2,77,85,71
1980/7/3,79,85,73
1980/7/4,78,88,70
1980/7/5,77,91,64
1980/7/6,78,89,67
1980/7/7,80,92,65
1980/7/8,80,92,70
1980/7/9,83,95,72
1980/7/10,81,93,75
1980/7/11,82,90,72
1980/7/12,82,91,73
1980/7/13,77,83,73
1980/7/14,79,92,65
1980/7/15,78,84,72
1980/7/16,77,87,69
1980/7/17,77,84,71
1980/7/18,81,89,75
1980/7/19,81,90,74
1980/7/20,79,88,70
1980/7/21,78,88,70
1980/7/22,82,91,74
1980/7/23,81,92,71
1980/7/24,78,83,73
1980/7/25,80,94,70
1980/7/26,80,92,68
1980/7/27,78,84,73
1980/7/28,79,87,71
1980/7/29,79,86,72
1980/7/30,80,89,71
1980/7/31,82,91,72
1980/8/1,80,89,72
1980/8/2,78,87,73
1980/8/3,75,81,73
1980/8/4,76,84,69
1980/8/5,76,86,69
1980/8/6,77,87,70
1980/8/7,76,87,68
1980/8/8,76,88,68
1980/8/9,74,85,67
1980/8/10,72,79,69
1980/8/11,72,78,69
1980/8/12,72,81,65
1980/8/13,74,84,66
1980/8/14,74,84,69
1980/8/15,73,86,67
1980/8/16,73,81,67
1980/8/17,74,81,68
1980/8/18,75,84,67
1980/8/19,74,85,66
1980/8/20,75,87,64
1980/8/21,76,87,64
1980/8/22,76,87,65
1980/8/23,78,90,70
1980/8/24,75,84,71
1980/8/25,75,84,69
1980/8/26,74,84,65
1980/8/27,73,77,71
1980/8/28,67,72,65
1980/8/29,71,80,65
1980/8/30,74,84,63
1980/8/31,74,85,64
1980/9/1,66,75,61
1980/9/2,71,82,58
1980/9/3,72,81,61
1980/9/4,71,82,65
1980/9/5,69,85,54
1980/9/6,71,81,60
1980/9/7,70,79,61
1980/9/8,67,81,53
1980/9/9,66,78,56
1980/9/10,66,80,54
1980/9/11,69,86,58
1980/9/12,70,81,59
1980/9/13,68,81,53
1980/9/14,63,68,61
1980/9/15,65,74,60
1980/9/16,63,79,48
1980/9/17,64,82,48
1980/9/18,65,81,48
1980/9/19,64,75,55
1980/9/20,60,70,46
1980/9/21,60,68,54
1980/9/22,57,69,48
1980/9/23,59,78,40
1980/9/24,62,80,47
1980/9/25,59,63,55
1980/9/26,61,74,50
1980/9/27,63,78,50
1980/9/28,65,78,56
1980/9/29,60,69,56
1980/9/30,58,72,47
1980/10/1,65,78,56
1980/10/2,65,78,56
1980/10/3,65,78,53
1980/10/4,66,77,55
1980/10/5,64,77,54
1980/10/6,65,78,53
1980/10/7,65,78,55
1980/10/8,53,64,43
1980/10/9,55,64,44
1980/10/10,55,58,51
1980/10/11,54,58,50
1980/10/12,50,52,48
1980/10/13,52,64,40
1980/10/14,49,66,38
1980/10/15,55,67,46
1980/10/16,55,65,47
1980/10/17,55,64,48
1980/10/18,51,66,41
1980/10/19,53,64,47
1980/10/20,46,56,36
1980/10/21,44,56,35
1980/10/22,45,56,37
1980/10/23,52,58,47
1980/10/24,48,54,42
1980/10/25,42,48,35
1980/10/26,42,53,35
1980/10/27,41,55,31
1980/10/28,43,55,33
1980/10/29,45,62,30
1980/10/30,47,58,41
1980/10/31,44,59,32
1980/11/1,50,62,39
1980/11/2,46,64,33
1980/11/3,43,58,32
1980/11/4,44,62,32
1980/11/5,51,68,36
1980/11/6,52,67,39
1980/11/7,44,58,36
1980/11/8,37,47,27
1980/11/9,37,52,25
1980/11/10,44,60,31
1980/11/11,44,48,38
1980/11/12,41,47,36
1980/11/13,35,47,26
1980/11/14,38,53,28
1980/11/15,40,52,32
1980/11/16,40,51,33
1980/11/17,42,53,33
1980/11/18,46,49,44
1980/11/19,48,52,46
1980/11/20,47,53,45
1980/11/21,47,53,44
1980/11/22,42,47,38
1980/11/23,46,52,37
1980/11/24,42,51,34
1980/11/25,40,54,31
1980/11/26,37,45,31
1980/11/27,40,56,29
1980/11/28,39,55,28
1980/11/29,43,56,29
1980/11/30,42,53,33
1980/12/1,37,49,29
1980/12/2,33,40,27
1980/12/3,22,35,17
1980/12/4,22,33,15
1980/12/5,27,43,17
1980/12/6,36,47,24
1980/12/7,33,44,22
1980/12/8,26,37,20
1980/12/9,27,41,15
1980/12/10,31,44,23
1980/12/11,27,34,23
1980/12/12,19,27,15
1980/12/13,18,28,11
1980/12/14,22,36,11
1980/12/15,23,33,15
1980/12/16,23,36,14
1980/12/17,23,34,15
1980/12/18,32,42,23
1980/12/19,33,45,21
1980/12/20,27,36,18
1980/12/21,26,34,19
1980/12/22,31,35,24
1980/12/23,25,35,20
1980/12/24,23,35,12
1980/12/25,23,30,20
1980/12/26,19,28,9
1980/12/27,18,26,12
1980/12/28,17,30,8
1980/12/29,15,25,9
1980/12/30,16,30,6
1980/12/31,22,30,14
1981/1/1,23,29,18
1981/1/2,19,26,12
1981/1/3,15,22,8
1981/1/4,17,31,7
1981/1/5,21,34,10
1981/1/6,27,41,16
1981/1/7,25,39,13
1981/1/8,31,45,16
1981/1/9,31,37,26
1981/1/10,29,35,22
1981/1/11,32,46,24
1981/1/12,28,36,19
1981/1/13,25,35,18
1981/1/14,24,29,21
1981/1/15,20,32,14
1981/1/16,24,33,17
1981/1/17,25,31,18
1981/1/18,24,31,19
1981/1/19,20,29,14
1981/1/20,20,33,14
1981/1/21,21,29,13
1981/1/22,20,28,12
1981/1/23,26,32,22
1981/1/24,22,28,17
1981/1/25,17,24,14
1981/1/26,18,30,10
1981/1/27,19,35,8
1981/1/28,24,37,12
1981/1/29,23,32,14
1981/1/30,24,36,14
1981/1/31,28,38,19
1981/2/1,32,42,22
1981/2/2,34,41,27
1981/2/3,25,36,15
1981/2/4,22,35,14
1981/2/5,28,48,13
1981/2/6,29,40,20
1981/2/7,29,45,17
1981/2/8,33,45,22
1981/2/9,35,44,24
1981/2/10,39,49,30
1981/2/11,35,51,20
1981/2/12,41,56,26
1981/2/13,35,45,25
1981/2/14,36,46,27
1981/2/15,33,40,26
1981/2/16,32,40,23
1981/2/17,28,36,19
1981/2/18,34,41,28
1981/2/19,28,33,23
1981/2/20,28,36,21
1981/2/21,26,37,19
1981/2/22,33,36,27
1981/2/23,29,33,27
1981/2/24,20,29,18
1981/2/25,17,22,12
1981/2/26,17,29,7
1981/2/27,21,30,12
1981/2/28,28,39,20
1981/3/1,32,45,19
1981/3/2,33,43,24
1981/3/3,41,58,27
1981/3/4,40,51,28
1981/3/5,41,47,29
1981/3/6,39,55,20
1981/3/7,38,58,30
1981/3/8,32,40,25
1981/3/9,39,49,27
1981/3/10,41,55,27
1981/3/11,44,58,32
1981/3/12,47,63,37
1981/3/13,46,53,43
1981/3/14,49,56,43
1981/3/15,49,63,33
1981/3/16,51,70,33
1981/3/17,53,72,35
1981/3/18,56,72,43
1981/3/19,55,70,46
1981/3/20,49,57,44
1981/3/21,46,59,34
1981/3/22,51,62,40
1981/3/23,51,56,46
1981/3/24,49,58,42
1981/3/25,47,54,43
1981/3/26,45,54,36
1981/3/27,43,56,34
1981/3/28,52,63,35
1981/3/29,49,57,40
1981/3/30,44,52,39
1981/3/31,42,44,40
