"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CHM00054511","BEIJING, CH","1980-01-01","0.00","22","29","15"
"CHM00054511","BEIJING, CH","1980-01-02","0.02","27","33","22"
"CHM00054511","BEIJING, CH","1980-01-03","0.00","29","33","25"
"CHM00054511","BEIJING, CH","1980-01-04","0.00","22","31","16"
"CHM00054511","BEIJING, CH","1980-01-05","0.00","20","35","7"
"CHM00054511","BEIJING, CH","1980-01-06","0.00","24","31","15"
"CHM00054511","BEIJING, CH","1980-01-07","0.00","21","37","7"
"CHM00054511","BEIJING, CH","1980-01-08","0.00","24","35","14"
"CHM00054511","BEIJING, CH","1980-01-09","0.00","26","31","18"
"CHM00054511","BEIJING, CH","1980-01-10","0.00","18","26","13"
"CHM00054511","BEIJING, CH","1980-01-11","0.00","17","31","5"
"CHM00054511","BEIJING, CH","1980-01-12","0.00","28","39","15"
"CHM00054511","BEIJING, CH","1980-01-13","0.00","29","38","18"
"CHM00054511","BEIJING, CH","1980-01-14","0.00","28","35","21"
"CHM00054511","BEIJING, CH","1980-01-15","0.00","28","41","14"
"CHM00054511","BEIJING, CH","1980-01-16","0.00","26","37","13"
"CHM00054511","BEIJING, CH","1980-01-17","0.00","20","30","9"
"CHM00054511","BEIJING, CH","1980-01-18","0.00","19","26","13"
"CHM00054511","BEIJING, CH","1980-01-19","0.00","22","36","11"
"CHM00054511","BEIJING, CH","1980-01-20","0.00","25","38","13"
"CHM00054511","BEIJING, CH","1980-01-21","0.00","24","36","16"
"CHM00054511","BEIJING, CH","1980-01-22","0.00","24","40","11"
"CHM00054511","BEIJING, CH","1980-01-23","0.00","30","43","20"
"CHM00054511","BEIJING, CH","1980-01-24","0.00","26","39","17"
"CHM00054511","BEIJING, CH","1980-01-25","0.00","26","40","16"
"CHM00054511","BEIJING, CH","1980-01-26","0.00","32","44","24"
"CHM00054511","BEIJING, CH","1980-01-27","0.00","34","42","26"
"CHM00054511","BEIJING, CH","1980-01-28","0.00","27","32","23"
"CHM00054511","BEIJING, CH","1980-01-29","0.00","12","25","6"
"CHM00054511","BEIJING, CH","1980-01-30","0.00","14","23","6"
"CHM00054511","BEIJING, CH","1980-01-31","0.00","19","27","10"
"CHM00054511","BEIJING, CH","1980-02-01","0.00","22","30","14"
"CHM00054511","BEIJING, CH","1980-02-02","0.00","23","29","16"
"CHM00054511","BEIJING, CH","1980-02-03","0.00","16","22","11"
"CHM00054511","BEIJING, CH","1980-02-04","0.00","15","21","12"
"CHM00054511","BEIJING, CH","1980-02-05","0.00","12","19","7"
"CHM00054511","BEIJING, CH","1980-02-06","0.00","15","24","6"
"CHM00054511","BEIJING, CH","1980-02-07","0.00","14","22","4"
"CHM00054511","BEIJING, CH","1980-02-08","0.00","17","28","10"
"CHM00054511","BEIJING, CH","1980-02-09","0.00","22","37","9"
"CHM00054511","BEIJING, CH","1980-02-10","0.00","33","42","17"
"CHM00054511","BEIJING, CH","1980-02-11","0.00","29","40","18"
"CHM00054511","BEIJING, CH","1980-02-12","0.00","28","41","16"
"CHM00054511","BEIJING, CH","1980-02-13","0.00","24","33","18"
"CHM00054511","BEIJING, CH","1980-02-14","0.00","24","38","8"
"CHM00054511","BEIJING, CH","1980-02-15","0.00","27","45","10"
"CHM00054511","BEIJING, CH","1980-02-16","0.00","25","39","15"
"CHM00054511","BEIJING, CH","1980-02-17","0.00","29","42","20"
"CHM00054511","BEIJING, CH","1980-02-18","0.09","31","38","28"
"CHM00054511","BEIJING, CH","1980-02-19","0.00","25","31","17"
"CHM00054511","BEIJING, CH","1980-02-20","0.00","31","44","22"
"CHM00054511","BEIJING, CH","1980-02-21","0.02","30","38","26"
"CHM00054511","BEIJING, CH","1980-02-22","0.00","34","46","29"
"CHM00054511","BEIJING, CH","1980-02-23","0.00","35","50","26"
"CHM00054511","BEIJING, CH","1980-02-24","0.00","32","39","27"
"CHM00054511","BEIJING, CH","1980-02-25","0.25","32","35","29"
"CHM00054511","BEIJING, CH","1980-02-26","0.00","34","46","22"
"CHM00054511","BEIJING, CH","1980-02-27","0.00","37","50","28"
"CHM00054511","BEIJING, CH","1980-02-28","0.00","38","49","26"
"CHM00054511","BEIJING, CH","1980-02-29","0.00","41","49","35"
"CHM00054511","BEIJING, CH","1980-03-01","0.00","38","51","27"
"CHM00054511","BEIJING, CH","1980-03-02","0.00","40","56","25"
"CHM00054511","BEIJING, CH","1980-03-03","0.00","40","52","34"
"CHM00054511","BEIJING, CH","1980-03-04","0.00","35","46","26"
"CHM00054511","BEIJING, CH","1980-03-05","0.00","35","47","25"
"CHM00054511","BEIJING, CH","1980-03-06","0.00","39","53","28"
"CHM00054511","BEIJING, CH","1980-03-07","0.00","42","56","31"
"CHM00054511","BEIJING, CH","1980-03-08","0.22","39","46","37"
"CHM00054511","BEIJING, CH","1980-03-09","0.04","35","38","32"
"CHM00054511","BEIJING, CH","1980-03-10","0.05","29","34","26"
"CHM00054511","BEIJING, CH","1980-03-11","0.00","30","36","27"
"CHM00054511","BEIJING, CH","1980-03-12","0.00","31","36","29"
"CHM00054511","BEIJING, CH","1980-03-13","0.00","36","46","31"
"CHM00054511","BEIJING, CH","1980-03-14","0.00","38","47","30"
"CHM00054511","BEIJING, CH","1980-03-15","0.00","37","47","26"
"CHM00054511","BEIJING, CH","1980-03-16","0.00","41","56","29"
"CHM00054511","BEIJING, CH","1980-03-17","0.00","42","54","35"
"CHM00054511","BEIJING, CH","1980-03-18","0.00","34","38","31"
"CHM00054511","BEIJING, CH","1980-03-19","0.00","38","51","27"
"CHM00054511","BEIJING, CH","1980-03-20","0.00","41","50","34"
"CHM00054511","BEIJING, CH","1980-03-21","0.00","35","42","28"
"CHM00054511","BEIJING, CH","1980-03-22","0.23","31","37","30"
"CHM00054511","BEIJING, CH","1980-03-23","0.00","36","43","31"
"CHM00054511","BEIJING, CH","1980-03-24","0.00","39","53","26"
"CHM00054511","BEIJING, CH","1980-03-25","0.00","45","56","28"
"CHM00054511","BEIJING, CH","1980-03-26","0.00","48","68","29"
"CHM00054511","BEIJING, CH","1980-03-27","0.00","52","70","32"
"CHM00054511","BEIJING, CH","1980-03-28","0.00","53","68","36"
"CHM00054511","BEIJING, CH","1980-03-29","0.00","49","57","40"
"CHM00054511","BEIJING, CH","1980-03-30","0.03","47","52","45"
"CHM00054511","BEIJING, CH","1980-03-31","0.00","47","56","39"
"CHM00054511","BEIJING, CH","1980-04-01","0.00","44","56","33"
"CHM00054511","BEIJING, CH","1980-04-02","0.00","49","63","33"
"CHM00054511","BEIJING, CH","1980-04-03","0.00","56","71","44"
"CHM00054511","BEIJING, CH","1980-04-04","0.04","57","71","46"
"CHM00054511","BEIJING, CH","1980-04-05","0.17","47","56","43"
"CHM00054511","BEIJING, CH","1980-04-06","0.00","42","50","35"
"CHM00054511","BEIJING, CH","1980-04-07","0.09","45","47","42"
"CHM00054511","BEIJING, CH","1980-04-08","0.00","49","60","35"
"CHM00054511","BEIJING, CH","1980-04-09","0.00","45","52","41"
"CHM00054511","BEIJING, CH","1980-04-10","0.00","47","63","35"
"CHM00054511","BEIJING, CH","1980-04-11","0.00","56","72","44"
"CHM00054511","BEIJING, CH","1980-04-12","0.09","45","58","42"
"CHM00054511","BEIJING, CH","1980-04-13","0.00","46","54","38"
"CHM00054511","BEIJING, CH","1980-04-14","0.00","44","54","34"
"CHM00054511","BEIJING, CH","1980-04-15","0.02","45","54","38"
"CHM00054511","BEIJING, CH","1980-04-16","0.00","44","60","31"
"CHM00054511","BEIJING, CH","1980-04-17","0.00","51","64","38"
"CHM00054511","BEIJING, CH","1980-04-18","0.00","53","62","47"
"CHM00054511","BEIJING, CH","1980-04-19","0.00","53","60","48"
"CHM00054511","BEIJING, CH","1980-04-20","0.00","55","63","47"
"CHM00054511","BEIJING, CH","1980-04-21","0.00","58","69","43"
"CHM00054511","BEIJING, CH","1980-04-22","0.00","55","63","46"
"CHM00054511","BEIJING, CH","1980-04-23","0.00","54","64","41"
"CHM00054511","BEIJING, CH","1980-04-24","0.00","54","65","37"
"CHM00054511","BEIJING, CH","1980-04-25","0.00","58","73","38"
"CHM00054511","BEIJING, CH","1980-04-26","0.00","56","64","51"
"CHM00054511","BEIJING, CH","1980-04-27","0.38","52","62","41"
